"","x"
"1",2.4849476411992e-06
"2",1.24288611046462e-06
"3",3.04079910606773e-06
"4",1.92315156404435e-06
"5",3.16970839249786e-06
"6",3.6482866336197e-06
"7",2.60203760118199e-06
"8",1.6742628325059e-06
"9",1.56439392913433e-06
"10",2.5882704615449e-06
"11",2.2764688025014e-06
"12",2.09546442825231e-06
"13",2.56436552797438e-06
"14",2.41107520227632e-06
"15",2.80860081147441e-06
"16",2.23797920170877e-06
"17",2.07413073255869e-06
"18",2.10242908186516e-06
"19",2.37569377737331e-06
"20",2.24077524046879e-06
"21",2.58511017691337e-06
"22",2.64586589046128e-06
"23",3.03574952433264e-06
"24",2.51091473841805e-06
"25",1.96192810969014e-06
"26",1.95070459945116e-06
"27",2.16491586138039e-06
"28",2.2816682768951e-06
"29",2.62458425211753e-06
"30",2.29891483778998e-06
"31",2.50010142321704e-06
"32",2.38687295407339e-06
"33",2.3875659322662e-06
"34",2.76818072498903e-06
"35",2.56978551077173e-06
"36",2.24971355691815e-06
"37",2.63662280051949e-06
"38",2.17851851003135e-06
"39",2.32983068497084e-06
"40",2.56771924754661e-06
"41",2.58875473059883e-06
"42",2.1898605898522e-06
"43",2.24464967998971e-06
"44",2.13766660803617e-06
"45",2.42932018519618e-06
"46",2.06809226664769e-06
"47",2.48654090285448e-06
"48",2.34721296047967e-06
"49",2.27444449231876e-06
"50",2.40408149340942e-06
"51",2.27876830918045e-06
"52",2.39281099046736e-06
"53",2.16383492831153e-06
"54",2.09468030536904e-06
"55",2.23902251044154e-06
"56",1.99414285505022e-06
"57",1.99933572351274e-06
"58",2.40878127622953e-06
"59",2.08374787283017e-06
"60",2.31166422753187e-06
"61",2.2677153877986e-06
"62",2.37909003048858e-06
"63",2.30581220123645e-06
"64",2.05169493108626e-06
"65",2.28100024648932e-06
"66",2.29559923925805e-06
"67",2.1889321821394e-06
"68",2.2747770319618e-06
"69",2.20145413431306e-06
"70",2.08745917962645e-06
"71",2.52785631670421e-06
"72",2.38257575550694e-06
"73",2.33424948038026e-06
"74",2.34723096915472e-06
"75",2.16192665651686e-06
"76",2.06253567884258e-06
"77",2.25399991509419e-06
"78",2.41124442721334e-06
"79",2.21701610114144e-06
"80",2.27458504285585e-06
"81",1.91186086874144e-06
"82",2.26848484726642e-06
"83",2.07943506835199e-06
"84",2.3561782316114e-06
"85",2.19554836210556e-06
"86",2.24183215657016e-06
"87",2.19710228677533e-06
"88",2.39258508180985e-06
"89",2.30587008837713e-06
"90",2.01918049496073e-06
"91",2.06663170759148e-06
"92",2.2811976912466e-06
"93",2.18945912550382e-06
"94",2.07365944097186e-06
"95",2.14710806381492e-06
"96",1.9400132761115e-06
"97",1.98840607865018e-06
"98",2.3981069404379e-06
"99",1.96875319575266e-06
"100",2.1776819569989e-06
"101",2.19083404790361e-06
"102",2.20410483250781e-06
"103",2.2491882207668e-06
"104",2.09025120189221e-06
"105",2.10634671395496e-06
"106",2.30810449700592e-06
"107",2.2841496983669e-06
"108",2.27156718516311e-06
"109",2.0093196355132e-06
"110",2.15321706169571e-06
"111",2.1382978872198e-06
"112",2.02143205586704e-06
"113",2.17618783889665e-06
"114",2.12667671836263e-06
"115",2.06299748291859e-06
"116",2.09055305692116e-06
"117",2.08124003426386e-06
"118",2.12840078419063e-06
"119",2.00948339098811e-06
"120",1.94133361487708e-06
"121",2.06596792987929e-06
"122",2.04550012439147e-06
"123",1.95047208679831e-06
"124",1.92645780653926e-06
"125",2.02199122384478e-06
"126",1.9177176384585e-06
"127",1.97938155380229e-06
"128",1.86075226607575e-06
"129",1.93896053484637e-06
"130",1.92846458250739e-06
"131",2.01185649130584e-06
"132",1.90822402424429e-06
"133",1.86526574293765e-06
"134",1.95278190949544e-06
"135",1.99176368313967e-06
"136",2.01704462960388e-06
"137",1.80981200399734e-06
