"","x"
"1",2.33386643246064e-06
"2",2.94132911509022e-06
"3",2.4480580134163e-06
"4",3.22238324467502e-06
"5",2.19703065498772e-06
"6",2.32912723606773e-06
"7",3.32745924015536e-06
"8",2.99460923883694e-06
"9",1.81252275724737e-06
"10",2.59936238847153e-06
"11",2.18268656611837e-06
"12",2.31110949073435e-06
"13",1.79564947095548e-06
"14",2.11501974867471e-06
"15",3.06822456748719e-06
"16",2.23242073975532e-06
"17",2.77237671682015e-06
"18",2.22097216448293e-06
"19",3.01952274088334e-06
"20",2.23320942875353e-06
"21",2.01592876978425e-06
"22",2.24953329091126e-06
"23",2.62197614486972e-06
"24",2.62085107712605e-06
"25",2.00231856858442e-06
"26",2.43142584414726e-06
"27",2.63355985783541e-06
"28",2.43660897341291e-06
"29",2.6661259019229e-06
"30",2.20653371005267e-06
"31",2.32634704178292e-06
"32",2.41487689143997e-06
"33",2.43507150939283e-06
"34",2.27606912970536e-06
"35",2.21587468090036e-06
"36",2.16590066729611e-06
"37",2.38151270796046e-06
"38",2.28620873110683e-06
"39",2.49508389103564e-06
"40",2.00555234957118e-06
"41",2.60008878767497e-06
"42",2.39098475741742e-06
"43",2.06507235038838e-06
"44",2.43779948028631e-06
"45",3.02439209424629e-06
"46",2.27086694447527e-06
"47",2.22094957122207e-06
"48",2.53682167627993e-06
"49",2.42431323062363e-06
"50",2.60919815061018e-06
"51",2.53648713808415e-06
"52",2.12418397027926e-06
"53",2.56834165480463e-06
"54",2.31846566483079e-06
"55",2.18050045055846e-06
"56",2.42288474641903e-06
"57",2.13631902878271e-06
"58",2.06014813896171e-06
"59",2.17808331075333e-06
"60",2.46212134315826e-06
"61",2.42771261469228e-06
"62",2.42373676869499e-06
"63",2.46617968250651e-06
"64",2.32201182407385e-06
"65",2.22969302905344e-06
"66",2.22568969911268e-06
"67",2.40231783426578e-06
"68",2.19741328142397e-06
"69",2.046300965851e-06
"70",2.44862940671447e-06
"71",2.05823767894248e-06
"72",2.27409907345628e-06
"73",2.35933870703204e-06
"74",2.31667607105806e-06
"75",2.29025953221625e-06
"76",2.06676609092845e-06
"77",2.57026950705074e-06
"78",2.06905334766163e-06
"79",2.38517863293198e-06
"80",2.09636554986352e-06
"81",2.29447923444388e-06
"82",1.8519757707474e-06
"83",2.10151175506967e-06
"84",2.22030227527398e-06
"85",2.3924978139964e-06
"86",2.31099461723994e-06
"87",2.17423885022042e-06
"88",1.99292789326749e-06
"89",2.16634865080015e-06
"90",2.10418858149433e-06
"91",2.51450074456849e-06
"92",2.05496405603603e-06
"93",2.23350101545655e-06
"94",1.97632039521546e-06
"95",2.24587961030636e-06
"96",2.0780353865772e-06
"97",2.16310228066356e-06
"98",2.19819099664878e-06
"99",2.02366599812119e-06
"100",2.06700284030795e-06
"101",2.21451076450979e-06
"102",2.18015845716369e-06
"103",2.18471178988478e-06
"104",2.21373083144272e-06
"105",2.07185162228421e-06
"106",2.05478897143835e-06
"107",2.14963634280302e-06
"108",2.08289708594928e-06
"109",2.22708380434937e-06
"110",1.87037914084524e-06
"111",2.10770862832083e-06
"112",2.0806532339944e-06
