"","x"
"1",1.11634995827162e-06
"2",1.46980485596934e-06
"3",2.26129109032697e-06
"4",2.9259123075885e-06
"5",1.36483849089159e-06
"6",2.78314871110124e-06
"7",2.04396375527413e-06
"8",2.20101365865445e-06
"9",2.59990529108085e-06
"10",2.12966823848813e-06
"11",2.78600382162621e-06
"12",2.83599853884387e-06
"13",2.49414705276178e-06
"14",1.94634172809594e-06
"15",2.86972778536011e-06
"16",1.72426918403681e-06
"17",2.5406335989279e-06
"18",2.99523012212064e-06
"19",2.37623710266966e-06
"20",2.57813162674502e-06
"21",2.37869411891642e-06
"22",2.36295506179219e-06
"23",2.5949850325264e-06
"24",2.7692811512834e-06
"25",2.56932565559354e-06
"26",2.38478829173066e-06
"27",1.88815268912326e-06
"28",2.67368133427975e-06
"29",2.93597966162345e-06
"30",2.57451804527867e-06
"31",2.48409556101219e-06
"32",2.33552131851939e-06
"33",2.56190631809761e-06
"34",2.72078593647618e-06
"35",2.05196871984838e-06
"36",2.35423594903207e-06
"37",2.18838631799113e-06
"38",2.65657222988296e-06
"39",3.0546275356379e-06
"40",2.63743970598898e-06
"41",2.20056037951103e-06
"42",2.46393935053624e-06
"43",2.0949305761506e-06
"44",2.11916723938915e-06
"45",2.57013311476103e-06
"46",2.25438320554273e-06
"47",2.36197433878335e-06
"48",2.42629736087432e-06
"49",1.97975140095558e-06
"50",2.65323734946444e-06
"51",2.17312735320056e-06
"52",2.34319190198702e-06
"53",2.5140216549871e-06
"54",2.17530642231889e-06
"55",2.45468647079133e-06
"56",2.84234909344087e-06
"57",2.40521056696279e-06
"58",2.29456805643806e-06
"59",2.57654793473779e-06
"60",2.18354696174418e-06
"61",2.50688776233381e-06
"62",2.37586504033074e-06
"63",2.36456985243899e-06
"64",2.24317788601791e-06
"65",2.48345799872292e-06
"66",2.12724703175097e-06
"67",2.26944510926641e-06
"68",2.20168372293595e-06
"69",2.47643597365293e-06
"70",2.27127227378513e-06
"71",2.09669437361271e-06
"72",2.22234990617711e-06
"73",1.91491516201919e-06
"74",2.04386942431775e-06
"75",2.08483556053803e-06
"76",2.33311321965562e-06
"77",2.19128072709334e-06
"78",2.23322058184909e-06
"79",2.23133228355738e-06
"80",2.09696893654762e-06
"81",2.26533257067547e-06
"82",2.16929357427525e-06
"83",2.03165848388778e-06
"84",2.27240816158381e-06
"85",1.96922123551749e-06
"86",2.05109057246647e-06
"87",2.37779612956595e-06
"88",2.16216885341063e-06
"89",2.27889969126824e-06
"90",2.05917939960401e-06
"91",1.88697883643834e-06
"92",2.26360830273305e-06
"93",2.02023595762921e-06
"94",2.01439227133966e-06
"95",2.12293191619394e-06
"96",1.9915014190676e-06
"97",2.0885387618617e-06
"98",2.30396144923441e-06
"99",2.25664121331652e-06
"100",1.96335097532045e-06
"101",2.15474947301744e-06
"102",1.97417554750188e-06
"103",1.8687134432269e-06
"104",2.07323187217089e-06
"105",2.17964348992072e-06
"106",2.04614992232846e-06
"107",2.01207731772497e-06
"108",2.04914247861978e-06
"109",2.0688358255824e-06
"110",1.89857279167854e-06
"111",2.07080247539495e-06
"112",2.00453894078108e-06
"113",2.06779425073527e-06
"114",2.06597270373346e-06
"115",2.24885400135215e-06
"116",2.1924017383059e-06
"117",2.11558771283994e-06
"118",2.05877920387723e-06
"119",1.88873957592845e-06
"120",1.99032762210344e-06
"121",2.04494704667449e-06
"122",2.00541718496273e-06
"123",1.92348996434818e-06
"124",1.97698612804884e-06
"125",2.09373136172558e-06
"126",2.01246622117382e-06
"127",1.9501377839313e-06
"128",1.92945857749094e-06
"129",1.76608113093758e-06
"130",1.97586926840307e-06
"131",1.86016069668205e-06
"132",2.03761733512817e-06
"133",2.04684779629924e-06
"134",2.00236405024503e-06
"135",1.88846257838558e-06
"136",1.95028354885746e-06
"137",1.87612560867992e-06
