"","x"
"1",2.14279213157546e-06
"2",3.46605900951527e-06
"3",1.87476812528844e-06
"4",2.15976588373784e-06
"5",1.46668503242707e-06
"6",1.83805505699483e-06
"7",2.12875183786061e-06
"8",2.56491406281681e-06
"9",3.01537511329042e-06
"10",2.67976912039105e-06
"11",2.36642177216957e-06
"12",2.28456636123682e-06
"13",2.11309562280947e-06
"14",2.66881144484156e-06
"15",2.51556235762496e-06
"16",2.9452438100731e-06
"17",2.11060036923742e-06
"18",2.01427497849081e-06
"19",2.6576116839838e-06
"20",2.77159424569611e-06
"21",2.24150655842488e-06
"22",2.50961093984602e-06
"23",2.94467512244256e-06
"24",2.23176283701588e-06
"25",2.25473776182469e-06
"26",2.42383784545536e-06
"27",2.80685931935923e-06
"28",2.23108278088991e-06
"29",2.04110967351339e-06
"30",2.29981764393612e-06
"31",2.29827593212124e-06
"32",2.37986821634436e-06
"33",2.40002440313033e-06
"34",2.35749396987142e-06
"35",2.7910935112566e-06
"36",2.04989011523998e-06
"37",2.7195501944426e-06
"38",2.75194640100248e-06
"39",2.1381337995596e-06
"40",2.50346233251836e-06
"41",2.33540684364041e-06
"42",2.39686505621871e-06
"43",2.52687040374846e-06
"44",2.49959829038311e-06
"45",2.17784187643045e-06
"46",2.33965049412319e-06
"47",2.10988592203095e-06
"48",2.89662368218804e-06
"49",2.24261602015063e-06
"50",2.64882747830143e-06
"51",2.6084609885228e-06
"52",2.49164456630333e-06
"53",2.24852490140941e-06
"54",2.76368476886592e-06
"55",2.17343679693854e-06
"56",2.40820061732879e-06
"57",2.20754909246636e-06
"58",2.3044334059946e-06
"59",2.02902631995062e-06
"60",2.41517953488246e-06
"61",2.36275193502761e-06
"62",2.17706055400924e-06
"63",2.48518472602661e-06
"64",2.04692846505086e-06
"65",2.25112410847076e-06
"66",2.19339588179709e-06
"67",2.13107229039268e-06
"68",2.50945834730398e-06
"69",2.3032445079182e-06
"70",2.4521366131539e-06
"71",2.37114082322477e-06
"72",2.36955481115622e-06
"73",2.25370612226483e-06
"74",2.05069959323802e-06
"75",2.28443797158773e-06
"76",2.09095754000572e-06
"77",2.38993974061186e-06
"78",2.60667727445373e-06
"79",2.2902319091564e-06
"80",2.21961353427247e-06
"81",2.25126084523011e-06
"82",2.12564664365232e-06
"83",2.24247970509562e-06
"84",2.16405866272515e-06
"85",2.27357062393772e-06
"86",2.17069069908932e-06
"87",2.08800094772882e-06
"88",2.30811062480141e-06
"89",2.16621273034578e-06
"90",2.19063908375286e-06
"91",2.00871341197942e-06
"92",2.38589892867484e-06
"93",2.07910792235987e-06
"94",2.17609176282642e-06
"95",2.0182250607921e-06
"96",2.06768814136869e-06
"97",2.3323614968489e-06
"98",1.98794037348227e-06
"99",2.03251225203332e-06
"100",2.06547996288995e-06
"101",2.16440884274512e-06
"102",2.09575157673936e-06
"103",2.2245146465036e-06
"104",2.28608883629367e-06
"105",1.98329066852239e-06
"106",2.14581623601827e-06
"107",1.95046881321621e-06
"108",2.14054753718599e-06
"109",2.07919941720072e-06
"110",2.04810193913588e-06
"111",1.96505954967837e-06
"112",1.98987763637824e-06
"113",2.07766728657827e-06
"114",1.93691032653967e-06
"115",1.8202388754786e-06
"116",2.23855215079016e-06
"117",1.98943934297604e-06
"118",2.12363766028052e-06
"119",2.0714440027958e-06
"120",1.92890530442676e-06
"121",2.02762132791548e-06
"122",2.05704411267619e-06
"123",1.91376104255038e-06
"124",1.98435433687741e-06
"125",1.98607090073733e-06
"126",1.84612139234968e-06
"127",2.22086488751893e-06
"128",1.94687248932255e-06
"129",1.95331156648799e-06
"130",1.99701557505219e-06
"131",1.83442542599113e-06
"132",2.029865702591e-06
"133",1.94250580095708e-06
"134",1.81787531498226e-06
"135",1.97467466096442e-06
"136",1.78748289256752e-06
"137",2.16554322113175e-06
"138",1.91190238787968e-06
"139",1.82966927133887e-06
"140",1.90404946848726e-06
"141",2.00782067262191e-06
"142",1.80633380797264e-06
"143",1.95821130388268e-06
"144",1.87485472713265e-06
"145",1.99399150040173e-06
"146",1.77740409638543e-06
"147",1.81436900451881e-06
"148",1.85292240520774e-06
"149",1.83307232563479e-06
"150",1.69091928460329e-06
"151",1.79993125320297e-06
"152",1.85799494410908e-06
"153",1.76220993271716e-06
"154",1.78025764881877e-06
"155",1.70944807340333e-06
"156",1.85653349966825e-06
"157",1.76540112077723e-06
"158",1.76345509254399e-06
"159",1.82751508089935e-06
"160",1.70297935540466e-06
"161",1.75877591020976e-06
"162",1.817572606331e-06
"163",1.6530680158728e-06
"164",1.75561625970258e-06
"165",1.83647958759121e-06
"166",1.79868133352639e-06
"167",1.76036887950044e-06
"168",1.73124419708745e-06
"169",1.59598574209173e-06
"170",1.76578331611784e-06
"171",1.71921452909344e-06
"172",1.69976806331416e-06
"173",1.72268173316824e-06
"174",1.70686160970476e-06
"175",1.64728932939066e-06
"176",1.68100007985837e-06
"177",1.68246490240287e-06
"178",1.65542564428039e-06
"179",1.68707067081948e-06
"180",1.70547497825904e-06
"181",1.69169143056795e-06
"182",1.63118411704308e-06
"183",1.59195929623631e-06
"184",1.71834314907775e-06
"185",1.74680053474569e-06
"186",1.69471405332766e-06
"187",1.67760610785802e-06
"188",1.61541266003125e-06
"189",1.64030623671579e-06
"190",1.60214713892889e-06
"191",1.743843949242e-06
"192",1.64381829485837e-06
"193",1.6800846540621e-06
"194",1.69459453017819e-06
"195",1.61460757356354e-06
"196",1.61745102121711e-06
"197",1.58461589069388e-06
"198",1.52278077167947e-06
"199",1.5627867418327e-06
"200",1.55774378936792e-06
"201",1.57334875940227e-06
"202",1.58076984356102e-06
"203",1.57380630090329e-06
"204",1.52845609002493e-06
"205",1.52523534210271e-06
"206",1.51626074889034e-06
"207",1.6519642630678e-06
"208",1.52667064885167e-06
"209",1.53810784312443e-06
"210",1.53870501403795e-06
"211",1.54715164133752e-06
"212",1.45646142958263e-06
"213",1.5174741405928e-06
