"","x"
"1",3.40086443606881e-06
"2",7.00972102721191e-07
"3",1.88345583189451e-06
"4",2.39674011592606e-06
"5",2.7603677105968e-06
"6",2.31143200307261e-06
"7",2.13710921159715e-06
"8",3.09729297626063e-06
"9",2.61889111643773e-06
"10",3.14902531216044e-06
"11",2.88442812166619e-06
"12",2.29555742746806e-06
"13",2.47601716274555e-06
"14",2.43694019730983e-06
"15",2.50939720887305e-06
"16",2.61826551531541e-06
"17",2.4556043635137e-06
"18",2.66374608185946e-06
"19",2.09338863424163e-06
"20",2.51434407112772e-06
"21",2.15431232952124e-06
"22",2.59796169499286e-06
"23",2.51225161724119e-06
"24",2.06246996896918e-06
"25",2.0009387262526e-06
"26",2.68525543929754e-06
"27",2.16407587840513e-06
"28",1.99662585808085e-06
"29",2.06982129092122e-06
"30",2.93868487506217e-06
"31",2.38455346007775e-06
"32",2.90355295709723e-06
"33",2.08284255986356e-06
"34",2.38131511771678e-06
"35",2.14512417851909e-06
"36",2.70543869495715e-06
"37",2.03261782525826e-06
"38",2.49194111670035e-06
"39",2.20088874552542e-06
"40",2.27037721118047e-06
"41",2.15034894553335e-06
"42",2.42061212049631e-06
"43",2.11303586069835e-06
"44",2.54999186533572e-06
"45",2.15367318256089e-06
"46",2.48274995381595e-06
"47",2.66499680134631e-06
"48",2.18144841926186e-06
"49",2.25511563514293e-06
"50",2.4511589674053e-06
"51",2.18606246267282e-06
"52",2.12661688650192e-06
"53",1.979914638384e-06
"54",2.19702485085768e-06
"55",2.39481529944286e-06
"56",2.31967135929131e-06
"57",2.28249733798306e-06
"58",2.0126131821049e-06
"59",2.39069190596335e-06
"60",2.24706502657363e-06
"61",2.18276819661442e-06
"62",2.41385811665789e-06
"63",2.19099982774645e-06
"64",2.47028523879715e-06
"65",2.16642647887364e-06
"66",2.33688831100567e-06
"67",2.1060953203298e-06
"68",2.18333039537267e-06
"69",2.28814082140129e-06
"70",2.13548160730234e-06
"71",2.22667194692543e-06
"72",2.12251396215602e-06
"73",2.16316824058118e-06
"74",2.0816568711391e-06
"75",2.29307756336352e-06
"76",2.47768852063448e-06
"77",2.28832060191649e-06
"78",2.22405609572675e-06
"79",2.09976185844893e-06
"80",2.1882438724921e-06
"81",2.24860446040504e-06
"82",1.9749638933678e-06
"83",2.1317324598685e-06
"84",2.07248184215258e-06
