"","x"
"1",5.21594004028077e-05
"2",8.08346030055496e-05
"3",5.1783548434839e-05
"4",6.60627117829308e-05
"5",9.28557710435573e-05
"6",8.09876095458593e-05
"7",7.90778876066338e-05
"8",9.87416360625258e-05
"9",7.08697497566246e-05
"10",4.73454492212249e-05
"11",7.67915568762305e-05
"12",4.81625213822448e-05
"13",4.97064199191001e-05
"14",5.17451063817189e-05
"15",3.94899217724017e-05
"16",5.31716264440246e-05
"17",4.95951656462428e-05
"18",5.7967689220445e-05
"19",4.37488020894574e-05
"20",4.39880961978746e-05
"21",4.37312291700191e-05
"22",3.33589564063474e-05
"23",3.04730271803361e-05
"24",3.38001623352543e-05
"25",3.1658077953638e-05
"26",3.10920138926031e-05
"27",2.70441522669e-05
"28",2.85332802768179e-05
"29",2.71544407794104e-05
"30",3.22606786601805e-05
"31",2.59742892094711e-05
"32",2.38670998357995e-05
"33",2.49082705090332e-05
"34",2.09184982323161e-05
"35",2.12014219706057e-05
"36",2.1055724926961e-05
"37",1.78505121180564e-05
"38",1.94661787876068e-05
"39",1.60419075179551e-05
"40",1.83946726323434e-05
"41",1.62236320937476e-05
"42",1.72113361792703e-05
"43",1.51037057872188e-05
"44",1.32445473336268e-05
"45",1.31021732517204e-05
"46",1.30271953986143e-05
"47",1.41081664760803e-05
"48",1.49652539457545e-05
"49",1.299427617767e-05
"50",1.27386188400724e-05
"51",1.27106031861607e-05
"52",1.10887045629762e-05
"53",1.04716807727813e-05
"54",1.19397966727647e-05
"55",1.09904359263705e-05
"56",1.1243840652496e-05
"57",1.13558646896289e-05
"58",1.00986764241191e-05
"59",9.74854964936077e-06
"60",9.56552589693799e-06
"61",8.28001981451604e-06
"62",9.02316257225593e-06
"63",7.95686694920256e-06
"64",8.90682089320415e-06
"65",8.71555219920022e-06
"66",7.38070464890996e-06
"67",7.67187823741027e-06
"68",8.38053294612245e-06
"69",8.49506075772305e-06
"70",7.34455494972475e-06
"71",7.53194484622777e-06
"72",8.21796780103346e-06
"73",7.35833133699654e-06
"74",6.49648011472501e-06
"75",6.57229425852752e-06
"76",6.48889820219386e-06
"77",6.53533779853802e-06
"78",6.71671027052096e-06
"79",6.60064537121723e-06
"80",6.75024222901682e-06
"81",6.13630021569095e-06
"82",5.68212594341425e-06
"83",6.3806052643073e-06
"84",5.55831969679936e-06
"85",5.79642977424162e-06
"86",5.0610136623085e-06
"87",5.58600647570623e-06
"88",4.90345745091691e-06
"89",5.19259355144874e-06
"90",5.02551898339161e-06
"91",4.87212840996021e-06
"92",5.08936177806203e-06
"93",4.88129467897683e-06
"94",4.5744334156731e-06
"95",4.39340108956729e-06
"96",4.02989490727637e-06
"97",4.63458378026701e-06
"98",4.33776607274801e-06
"99",4.03769012951209e-06
"100",4.00683906118129e-06
"101",3.86766374419444e-06
"102",4.26483805949293e-06
"103",3.7870522977347e-06
"104",3.68159388356307e-06
"105",4.09171206631038e-06
"106",3.53586598130573e-06
"107",3.77717724220075e-06
"108",3.64896804703592e-06
"109",3.53907594748835e-06
"110",3.23173860944363e-06
"111",3.8109851338478e-06
"112",3.19681576351792e-06
"113",3.40574896096897e-06
"114",3.23068259874176e-06
"115",3.70946345374094e-06
"116",3.2752348453066e-06
"117",3.18983460221926e-06
"118",3.21558363479597e-06
"119",2.98406694622991e-06
"120",2.86579901593487e-06
"121",2.99964717468679e-06
"122",2.80161447227745e-06
"123",2.91605852825161e-06
"124",2.9345647299164e-06
"125",2.88936062023068e-06
"126",2.87021656142337e-06
"127",2.87367911890925e-06
"128",2.71234909972858e-06
"129",2.68052572878448e-06
"130",2.89256604944502e-06
"131",2.75092596426301e-06
"132",2.69066372954411e-06
"133",2.55681419093947e-06
"134",2.42841152833318e-06
"135",2.52502633573856e-06
"136",2.49597536968448e-06
"137",2.40034793767765e-06
"138",2.50131682536927e-06
"139",2.71234736401541e-06
"140",2.40628520288637e-06
"141",2.22854874650615e-06
"142",2.37374887000756e-06
"143",2.3077054640895e-06
"144",2.07024908526118e-06
"145",2.26089460325777e-06
"146",2.15839512946181e-06
"147",2.20284263845452e-06
"148",2.12188330632237e-06
"149",2.09744725623769e-06
"150",1.99741537732398e-06
"151",1.98473928569949e-06
"152",2.0993656230758e-06
"153",1.96900252319833e-06
"154",2.01988451817984e-06
"155",1.95899091487424e-06
"156",1.86616186023029e-06
"157",1.89438229298781e-06
"158",1.82973464053265e-06
"159",1.81091438066615e-06
"160",1.76580689708357e-06
"161",1.78243974110495e-06
"162",1.86375144604683e-06
"163",1.90177843599866e-06
"164",1.97204112663882e-06
"165",1.76455001199901e-06
"166",1.70943341201238e-06
"167",1.65367142273686e-06
"168",1.8470702384925e-06
"169",1.60544430218273e-06
"170",1.7612016589498e-06
"171",1.57813040597503e-06
