"","x"
"1",5.7743768076004e-05
"2",5.02691122811245e-05
"3",5.66837234120125e-05
"4",5.58851763232968e-05
"5",6.21929202054333e-05
"6",7.88457706690823e-05
"7",7.42366302509565e-05
"8",8.83064581603761e-05
"9",9.23495506751502e-05
"10",4.41834552915064e-05
"11",6.74537327716285e-05
"12",8.03216500340892e-05
"13",5.66077208734553e-05
"14",5.14500574016908e-05
"15",6.2295008492313e-05
"16",6.13754224232137e-05
"17",4.80580984397591e-05
"18",5.53127303500271e-05
"19",4.74466925968377e-05
"20",3.49682384023742e-05
"21",3.92205925470302e-05
"22",3.56220033221767e-05
"23",3.4288532469532e-05
"24",3.44536624429514e-05
"25",3.76173886210335e-05
"26",3.42639759356579e-05
"27",2.50574386089772e-05
"28",3.09402696672707e-05
"29",2.61992179045559e-05
"30",2.97084243349204e-05
"31",2.27563743122963e-05
"32",2.21153398684905e-05
"33",2.56342237899005e-05
"34",2.49502672973957e-05
"35",2.16387004841014e-05
"36",2.03487087639993e-05
"37",2.04668009583187e-05
"38",1.61386003051217e-05
"39",1.7273989015141e-05
"40",1.69399005330201e-05
"41",1.65673648879087e-05
"42",1.54455800570803e-05
"43",1.49779578443451e-05
"44",1.31317100030388e-05
"45",1.34312455699857e-05
"46",1.52080600479264e-05
"47",1.31243893873969e-05
"48",1.3615456766297e-05
"49",1.29120902519412e-05
"50",1.46959633095407e-05
"51",1.17135927286164e-05
"52",1.26873127820077e-05
"53",1.03384110594806e-05
"54",1.00317200900759e-05
"55",1.06078982886298e-05
"56",1.10465068699441e-05
"57",1.08320793886705e-05
"58",9.15438290445749e-06
"59",8.60124151309661e-06
"60",9.3949229739247e-06
"61",9.80644926354443e-06
"62",9.7389239007937e-06
"63",9.50466268991015e-06
"64",9.23961961180865e-06
"65",8.46984173008069e-06
"66",8.49039973174489e-06
"67",8.52939902685582e-06
"68",7.63153451076871e-06
"69",7.55836030510213e-06
"70",7.64544557309367e-06
"71",7.24459822639288e-06
"72",8.15119058581027e-06
"73",7.27710079478897e-06
"74",7.08576769160117e-06
"75",7.66983899183893e-06
"76",6.9523246826014e-06
"77",6.53588172717549e-06
"78",6.5739262199462e-06
"79",6.18652227988445e-06
"80",7.00032962556025e-06
"81",5.8954676551854e-06
"82",6.10508404104282e-06
"83",5.95937303886832e-06
"84",5.45613310893006e-06
"85",5.63399936141094e-06
"86",5.44217780015399e-06
"87",5.51620739778536e-06
"88",5.14850711259921e-06
"89",5.04209230774278e-06
"90",5.36190155113279e-06
"91",4.54433633325822e-06
"92",5.29026976255488e-06
"93",4.65454652450953e-06
"94",5.03198963508292e-06
"95",4.75000442915881e-06
"96",4.62783568538151e-06
"97",4.46305996995753e-06
"98",4.48166940026692e-06
"99",4.40636808762594e-06
"100",4.19779377480165e-06
"101",3.83527012593357e-06
"102",4.14486923376045e-06
"103",4.20343017447498e-06
"104",3.80342198580026e-06
"105",3.56120961341097e-06
"106",3.69034034428109e-06
"107",3.37686576043713e-06
"108",3.23579738175153e-06
"109",3.92291083459643e-06
"110",3.6284296423329e-06
"111",3.48402419368701e-06
"112",3.18194899894227e-06
"113",3.14220693041227e-06
"114",3.5065939036349e-06
"115",3.0669382945955e-06
"116",3.17226504760359e-06
"117",2.71758062493844e-06
"118",3.26082618080486e-06
"119",2.89797496554599e-06
"120",3.14227257965157e-06
"121",3.14260173328478e-06
"122",2.82708994409679e-06
"123",2.73133684441549e-06
"124",2.7912881824437e-06
"125",2.91331623837748e-06
"126",2.78460201883989e-06
"127",2.7806927596655e-06
"128",2.68948864408179e-06
"129",2.5907770408095e-06
"130",2.49196459506057e-06
"131",2.71704507847354e-06
"132",2.64946951385416e-06
"133",2.55774228716393e-06
"134",2.3827714576008e-06
"135",2.68400964102674e-06
"136",2.48789598086133e-06
"137",2.43038392386992e-06
"138",2.28011223136348e-06
"139",2.38423437072068e-06
"140",2.15923988242828e-06
"141",2.46957624741567e-06
"142",2.34312945785853e-06
"143",2.594815148086e-06
"144",2.19134118159076e-06
"145",2.23065627021724e-06
"146",2.30975542361457e-06
"147",2.18976198312579e-06
"148",2.22273586544961e-06
"149",2.04523692218834e-06
"150",2.05363305910751e-06
"151",2.0537780171285e-06
"152",2.12051498548199e-06
"153",2.05252559616381e-06
"154",1.94860266718872e-06
"155",1.96606115597846e-06
"156",1.87560534421677e-06
"157",1.93266548760479e-06
"158",1.97734335303244e-06
"159",1.90864270784171e-06
"160",1.90702298512533e-06
"161",1.84974263992251e-06
"162",1.93699678835847e-06
"163",1.75616245456848e-06
"164",1.80759264373501e-06
"165",1.78842451917839e-06
"166",1.78181920410016e-06
"167",1.71245847327569e-06
"168",1.68198124869016e-06
"169",1.71417103915658e-06
"170",1.57764125226731e-06
"171",1.68901667624775e-06
"172",1.5788448162613e-06
"173",1.5183317636736e-06
"174",1.64626550648747e-06
"175",1.63954684255584e-06
"176",1.55601491968329e-06
"177",1.66206520297057e-06
"178",1.49359855972767e-06
"179",1.51951197921416e-06
"180",1.49235860111339e-06
"181",1.66620148471617e-06
"182",1.43217057858239e-06
"183",1.57434156249393e-06
"184",1.39239212954213e-06
"185",1.45587793334097e-06
"186",1.46357613602868e-06
"187",1.47065066292043e-06
"188",1.54659889212227e-06
"189",1.40469783431831e-06
"190",1.4678543336862e-06
"191",1.37896171175834e-06
"192",1.35173148201153e-06
"193",1.26137343390088e-06
"194",1.45852951830111e-06
"195",1.34476188023985e-06
"196",1.2703698190572e-06
