"","x"
"1",0.00012944598824124
"2",9.33959860733521e-05
"3",8.21690683419924e-05
"4",4.80941963519367e-05
"5",9.60077090229486e-05
"6",4.72859810495233e-05
"7",7.69729927031276e-05
"8",7.82827334026941e-05
"9",5.52908893740254e-05
"10",4.93495605392545e-05
"11",6.00492348523405e-05
"12",4.83177331518324e-05
"13",6.22912839689918e-05
"14",7.02469824321627e-05
"15",4.52924977277681e-05
"16",3.93691969406366e-05
"17",3.91522477640911e-05
"18",3.50011369350369e-05
"19",5.94721212186279e-05
"20",4.69198966346282e-05
"21",3.58400736242875e-05
"22",4.12896427477753e-05
"23",3.14983699844191e-05
"24",2.53905712577251e-05
"25",3.07992164268099e-05
"26",2.72350369777357e-05
"27",2.86142541620562e-05
"28",3.18669300055794e-05
"29",2.68319281826003e-05
"30",2.6351416368135e-05
"31",2.5153849621721e-05
"32",2.07656204805644e-05
"33",2.21655950525592e-05
"34",2.06680810320562e-05
"35",2.0802949268658e-05
"36",1.72796494924439e-05
"37",2.37040018025312e-05
"38",1.89710061609973e-05
"39",1.95330346912398e-05
"40",1.57534368448844e-05
"41",1.77628599013214e-05
"42",1.57002327917634e-05
"43",1.75697882274371e-05
"44",1.44610489058818e-05
"45",1.60991450309584e-05
"46",1.21495094614704e-05
"47",1.40164864621001e-05
"48",1.11890841289205e-05
"49",1.53687221955009e-05
"50",1.47765031955071e-05
"51",1.20689284814799e-05
"52",1.24714138764693e-05
"53",1.07107613943946e-05
"54",1.09260822766853e-05
"55",1.2680056262613e-05
"56",1.06245568313298e-05
"57",9.99744349941666e-06
"58",9.81568376564205e-06
"59",8.08366628237407e-06
"60",9.61860832119419e-06
"61",8.22349768566285e-06
"62",1.02409460071832e-05
"63",1.05248243907659e-05
"64",8.67112231292905e-06
"65",9.32990821693215e-06
"66",8.77003123034135e-06
"67",7.7319334922753e-06
"68",7.81014308741892e-06
"69",8.58397360075515e-06
"70",7.86592374414755e-06
"71",6.96255843821406e-06
"72",7.87510542035065e-06
"73",6.85469608836069e-06
"74",6.39383241214122e-06
"75",6.27299041756265e-06
"76",6.69263947645958e-06
"77",6.72711300721095e-06
"78",6.65407298459959e-06
"79",6.16173638086726e-06
"80",6.67610835368402e-06
"81",5.94492114372184e-06
"82",6.87343971059717e-06
"83",5.77438809164182e-06
"84",5.71749884628042e-06
"85",5.50418372767552e-06
"86",5.5124769778468e-06
"87",5.11998963196477e-06
"88",4.98803464427346e-06
"89",4.49246379045975e-06
"90",5.5701294618292e-06
"91",4.49474901004367e-06
"92",4.83975149563062e-06
"93",4.02162359197176e-06
"94",4.5460773064333e-06
"95",4.64336279584694e-06
"96",4.53327840657373e-06
"97",3.97550728927288e-06
"98",4.61574395202286e-06
"99",3.81121809187556e-06
"100",4.23014067829387e-06
"101",4.43402390438082e-06
"102",3.61086366146514e-06
"103",3.7818505218034e-06
"104",4.0006464449415e-06
"105",3.73825008491903e-06
"106",3.77754733729916e-06
"107",3.86548615598375e-06
"108",3.66275557728112e-06
"109",3.69759983955396e-06
"110",3.59244080001987e-06
"111",3.61466370313018e-06
"112",3.49450050244727e-06
"113",3.46362683834803e-06
"114",3.17544616841307e-06
"115",3.41779166356817e-06
"116",3.08980667704519e-06
"117",3.0802976126905e-06
"118",3.32408633453186e-06
"119",3.19631685174412e-06
"120",3.09042781944346e-06
"121",2.6876099350345e-06
"122",3.05092767051226e-06
"123",2.83699899351954e-06
"124",2.97229013499382e-06
"125",2.76920572106252e-06
"126",2.6763921796209e-06
"127",2.79456723328189e-06
"128",2.98662946024938e-06
"129",2.84496489552579e-06
"130",2.75054641653288e-06
"131",2.79809228776381e-06
"132",2.58968328232238e-06
"133",2.8780796071341e-06
"134",2.63776100754772e-06
"135",2.61637178513238e-06
"136",2.58578752503071e-06
"137",2.28347636163307e-06
"138",2.33127689103032e-06
"139",2.31023253097924e-06
"140",2.48960271193099e-06
"141",2.4640243160466e-06
"142",2.58881121426331e-06
"143",2.47440887405043e-06
"144",2.31132211208595e-06
