"","x"
"1",4.95987941622604e-05
"2",5.33717534592263e-05
"3",9.91836253418358e-05
"4",7.41181366470951e-05
"5",6.49095601536951e-05
"6",5.23009883529724e-05
"7",3.81746340054437e-05
"8",8.78028384627159e-05
"9",7.21139612143928e-05
"10",6.55391403215465e-05
"11",4.13753167657477e-05
"12",4.80695191064994e-05
"13",5.54791235605702e-05
"14",6.84304223143761e-05
"15",4.95990957018607e-05
"16",4.60419326938608e-05
"17",3.88215963483296e-05
"18",4.10766839840858e-05
"19",4.39036127625007e-05
"20",3.42388788790291e-05
"21",4.00813416121028e-05
"22",3.73898437142076e-05
"23",3.52644323273184e-05
"24",2.75143924464146e-05
"25",3.56112357423605e-05
"26",2.728432125671e-05
"27",2.39995678121325e-05
"28",2.70559579175876e-05
"29",2.60916174563206e-05
"30",3.20509748046446e-05
"31",2.54281578537387e-05
"32",2.37051353841835e-05
"33",2.53040239784352e-05
"34",2.23554571152879e-05
"35",1.84539004026228e-05
"36",1.89838989400746e-05
"37",1.98538960044551e-05
"38",1.77503010307541e-05
"39",1.83408703591705e-05
"40",1.76717216744883e-05
"41",1.6555357647786e-05
"42",1.5510652685816e-05
"43",1.6740334675891e-05
"44",1.39830958195967e-05
"45",1.41890377639229e-05
"46",1.46521085519714e-05
"47",1.49656782560127e-05
"48",1.524235305793e-05
"49",1.34795508985464e-05
"50",1.33632563138608e-05
"51",1.26877893179995e-05
"52",1.34397137329736e-05
"53",1.24856456889455e-05
"54",1.08720218279985e-05
"55",1.11720576398814e-05
"56",1.19554362512108e-05
"57",1.15143627943792e-05
"58",9.53579988356256e-06
"59",9.59565998250794e-06
"60",9.25148253294577e-06
"61",9.04511327135567e-06
"62",7.95605271839197e-06
"63",8.70271400154663e-06
"64",8.3570077542591e-06
"65",7.72580200326465e-06
"66",7.97576056969786e-06
"67",8.35373945427361e-06
"68",8.06652204192417e-06
"69",7.62290408714119e-06
"70",8.32451164889025e-06
"71",8.0084655162483e-06
"72",7.57148421750257e-06
"73",6.83809091100487e-06
"74",7.16760848852147e-06
"75",7.22385965199955e-06
"76",6.50665347419353e-06
"77",6.52875379796167e-06
"78",6.39297158003166e-06
"79",5.87071942762241e-06
"80",7.52117784622643e-06
"81",6.1819825847054e-06
"82",6.24048602460305e-06
"83",5.54678350672877e-06
"84",5.69397311523532e-06
"85",5.72129306180022e-06
"86",5.56574993046861e-06
"87",5.23104732456566e-06
"88",5.2020588360025e-06
"89",4.81897058013203e-06
"90",5.70574892756969e-06
"91",5.25726161899375e-06
"92",4.76729748580785e-06
"93",4.71729828905483e-06
"94",4.59541958038293e-06
"95",5.31713275581003e-06
"96",4.47034670811414e-06
"97",4.55485106865696e-06
"98",3.87578842135985e-06
"99",4.23078825610871e-06
"100",4.07142952848047e-06
"101",3.95879397857655e-06
"102",3.78738314837131e-06
"103",3.85450557180862e-06
"104",4.07530113800655e-06
"105",3.79383314629076e-06
"106",3.49253738124755e-06
"107",3.73510820334882e-06
"108",3.65631869270303e-06
"109",3.53049771033571e-06
"110",3.81772090234983e-06
"111",3.50696741006658e-06
"112",3.45876678496465e-06
"113",3.20930313162059e-06
"114",3.31401818786011e-06
"115",3.55447702606058e-06
"116",2.76607802117857e-06
"117",3.50244304016176e-06
"118",3.3912582696794e-06
"119",3.02739102020504e-06
"120",3.00499962247382e-06
"121",3.17664535878739e-06
"122",3.01842887428013e-06
"123",3.02939955216245e-06
"124",2.81435742863576e-06
"125",2.74260066038424e-06
"126",2.91930678669977e-06
"127",2.77096029508856e-06
"128",2.82640902819753e-06
"129",2.56700001044821e-06
"130",2.72258065012128e-06
"131",2.65720485345141e-06
"132",2.75589527708665e-06
"133",2.63478977083291e-06
"134",2.62054014483183e-06
"135",2.56242572842259e-06
"136",2.665715611135e-06
"137",2.47111951198283e-06
"138",2.38885425612947e-06
"139",2.35163454819246e-06
"140",2.37432218162898e-06
"141",2.22687141873461e-06
"142",2.1003802924979e-06
"143",2.42433651522785e-06
"144",2.14363141829129e-06
"145",2.25335967405942e-06
"146",2.13445531320745e-06
"147",2.22171201243912e-06
"148",2.18188966642903e-06
"149",2.09866567022897e-06
"150",2.13778990865525e-06
"151",2.18656977537358e-06
"152",2.04222795331929e-06
"153",2.02872416199183e-06
"154",2.11049297454678e-06
"155",2.0146598916946e-06
"156",2.07876908227608e-06
"157",1.99624324668835e-06
"158",1.80852217119836e-06
"159",1.7774092366989e-06
"160",2.03094615923561e-06
"161",2.04247669231002e-06
"162",1.77699439865276e-06
"163",1.97042362918252e-06
"164",1.90903975670339e-06
"165",1.86198890463697e-06
"166",1.72541146493755e-06
"167",1.77144573526122e-06
"168",1.85994039211654e-06
"169",1.55639416527304e-06
"170",1.71325199880711e-06
"171",1.6856801891818e-06
"172",1.72504758482808e-06
"173",1.69389218550006e-06
"174",1.65666200825771e-06
"175",1.73048136874649e-06
"176",1.54091678445728e-06
"177",1.66171964579918e-06
"178",1.52098211927441e-06
"179",1.49258255889032e-06
"180",1.57259933527937e-06
"181",1.49075602827173e-06
"182",1.57440535875803e-06
"183",1.60026885864709e-06
"184",1.43532605184959e-06
"185",1.48037075956991e-06
"186",1.58889275367e-06
"187",1.41585448697633e-06
"188",1.38604355253449e-06
"189",1.51443697642262e-06
"190",1.47573193083784e-06
"191",1.39953412520277e-06
"192",1.36535624534743e-06
"193",1.32126173362994e-06
"194",1.35142621000638e-06
"195",1.36359892512304e-06
"196",1.36414301548438e-06
"197",1.40017042474911e-06
"198",1.38018331390401e-06
"199",1.33786057640697e-06
"200",1.29576434953271e-06
"201",1.28433680307318e-06
"202",1.18842105744213e-06
"203",1.29655231137453e-06
"204",1.22128632501123e-06
"205",1.27618044930866e-06
"206",1.28529827744516e-06
"207",1.24908043045491e-06
"208",1.16115821817395e-06
"209",1.29360285254479e-06
"210",1.22004761693716e-06
"211",1.20947738692858e-06
"212",1.28032993203473e-06
"213",1.18824344087408e-06
"214",1.1047378110889e-06
"215",1.18603983759054e-06
"216",1.21417760287064e-06
"217",1.14098621180863e-06
"218",1.20032250163499e-06
"219",1.13637054318205e-06
"220",1.1432592549283e-06
"221",1.08473515122116e-06
"222",1.08780623918078e-06
"223",1.08817500821489e-06
"224",1.11614847212769e-06
"225",1.10923700915358e-06
"226",1.17075307181642e-06
"227",1.0581897699366e-06
"228",1.0834411038602e-06
"229",1.06046115897786e-06
"230",1.05273964240993e-06
"231",9.83206487014373e-07
"232",1.04072504631806e-06
"233",1.04000479180573e-06
"234",1.01975417054913e-06
"235",1.07305215610647e-06
"236",1.01175131228671e-06
"237",1.03727049307911e-06
"238",1.0354398981682e-06
"239",1.06683097467409e-06
"240",1.0342661799986e-06
"241",9.36246908586421e-07
"242",9.52771771670103e-07
"243",1.03411081726981e-06
"244",9.82281184118581e-07
"245",9.70704427815784e-07
"246",9.54528445603316e-07
"247",9.83736602164283e-07
"248",9.30932151278479e-07
"249",9.7930190455319e-07
"250",9.15818540578487e-07
"251",8.51069664926194e-07
"252",9.01684801223756e-07
"253",8.84991101615347e-07
"254",8.86586920601916e-07
"255",8.73328222578115e-07
"256",8.97054767318364e-07
"257",9.26756613799154e-07
"258",9.26448479115916e-07
"259",9.02367074920897e-07
"260",9.37298799535507e-07
"261",8.96712430286193e-07
"262",8.57101910682052e-07
"263",8.99109764336476e-07
"264",8.68114391880203e-07
"265",8.25853319108956e-07
"266",8.71593772823133e-07
"267",8.93487141040485e-07
"268",8.40302588736059e-07
"269",8.61197209989255e-07
"270",7.97467879527096e-07
"271",7.98779513910341e-07
"272",8.48344755922156e-07
"273",8.66775982587784e-07
"274",7.74420909180013e-07
"275",7.82633820592456e-07
"276",7.63335233509119e-07
"277",7.81543130683851e-07
"278",7.73135052877951e-07
"279",7.85395897627112e-07
"280",8.45638890627472e-07
"281",7.49660012228019e-07
"282",7.98755042134027e-07
"283",7.91839191524625e-07
"284",7.60417421356386e-07
"285",8.02848309915766e-07
"286",7.83261591910571e-07
"287",7.30315969765929e-07
"288",7.86729639983701e-07
"289",7.47085475976667e-07
"290",7.22264020671074e-07
"291",7.62449064422286e-07
"292",7.19022276220544e-07
"293",7.06375905121976e-07
"294",7.51144596357914e-07
"295",7.42626841331265e-07
"296",7.25371681767962e-07
"297",6.90467835181371e-07
"298",7.33366504023842e-07
"299",7.30129434088172e-07
"300",7.26163272838604e-07
"301",6.7944478838764e-07
"302",6.37822885867773e-07
"303",7.22301178073327e-07
"304",6.70505948449016e-07
"305",6.99117302226917e-07
"306",7.04205413876277e-07
"307",6.29464684554015e-07
"308",6.58441214485459e-07
"309",6.6081696199235e-07
"310",7.19712026849823e-07
"311",6.70213012891731e-07
"312",6.62564577556141e-07
"313",6.70605931704443e-07
"314",6.6294679243936e-07
"315",6.49517784739104e-07
"316",6.5157601675941e-07
"317",6.7221120275454e-07
"318",6.73300167657878e-07
"319",6.38768398713535e-07
"320",6.52423425475632e-07
"321",6.67125505155088e-07
"322",6.52363981143983e-07
"323",6.71557713695655e-07
"324",6.91733775824399e-07
"325",6.30017277372744e-07
"326",6.33738485688365e-07
"327",6.54909460003886e-07
"328",6.27370717799147e-07
"329",6.45641164186182e-07
"330",6.17083708410422e-07
"331",6.37301388619562e-07
"332",6.14821263108887e-07
"333",6.45659016942424e-07
"334",6.51052523978391e-07
"335",6.11568625546166e-07
"336",6.16034999730928e-07
"337",6.20917406472451e-07
"338",6.17323736010448e-07
"339",6.35759218923265e-07
"340",6.07254371143829e-07
"341",5.9229069952897e-07
"342",5.80511827386343e-07
"343",5.74912106453653e-07
"344",6.31582984671533e-07
"345",6.02669274294652e-07
"346",5.99246982440291e-07
"347",5.93691937509745e-07
"348",5.90749244495875e-07
"349",5.92792682074189e-07
"350",5.79166027012888e-07
"351",5.74534438385425e-07
"352",5.83469615776594e-07
"353",5.57236617222382e-07
"354",5.98065648490221e-07
"355",5.73818404160132e-07
"356",5.69043461242198e-07
"357",5.60422517066479e-07
"358",5.88919395940337e-07
"359",5.73103370982086e-07
"360",5.72768529297902e-07
"361",5.86991669226573e-07
"362",5.75093557288404e-07
"363",5.6991546375963e-07
"364",5.45569141089914e-07
"365",5.66224193963815e-07
"366",5.40921014629149e-07
"367",5.41713848468604e-07
"368",5.62909989238329e-07
"369",5.44577416248738e-07
"370",5.7876636650011e-07
"371",5.86797465241211e-07
"372",5.48202863097465e-07
"373",5.23515941187965e-07
"374",5.77253249711164e-07
"375",5.62883687825145e-07
"376",5.4447122389895e-07
"377",5.51778882290672e-07
"378",5.38193551451649e-07
"379",5.11950675512633e-07
"380",5.37182916854046e-07
"381",5.56163341258842e-07
"382",5.41421583881381e-07
"383",5.44385004110894e-07
"384",5.32800910008426e-07
"385",5.44112873276625e-07
"386",5.00690217867589e-07
"387",5.10271919578844e-07
"388",5.32208528298763e-07
"389",5.2906883764496e-07
"390",5.2069986036565e-07
"391",5.12168409026287e-07
"392",5.35456643426542e-07
"393",5.2373389991571e-07
"394",5.31185122479912e-07
"395",5.18605652655524e-07
"396",5.21302464674184e-07
"397",5.0351710377141e-07
"398",5.02729168423572e-07
"399",5.33195216389152e-07
"400",4.97036472462636e-07
"401",4.93836020783518e-07
"402",4.79799314872318e-07
"403",5.20063302166516e-07
"404",5.0844722635527e-07
"405",5.03699027373768e-07
"406",5.20372928234007e-07
"407",5.20611541143735e-07
"408",4.84668123141996e-07
"409",4.95358918384519e-07
"410",5.17031072585297e-07
"411",5.23645174188402e-07
"412",5.20291964819318e-07
"413",5.06805343969635e-07
"414",4.73597840255723e-07
"415",4.89802154128933e-07
"416",4.91091500552889e-07
"417",5.06103324411559e-07
"418",4.91882664199722e-07
"419",5.11710825647514e-07
"420",5.12252125207406e-07
"421",4.96073789668278e-07
"422",4.76942618565442e-07
"423",4.904164419253e-07
"424",4.94922690588102e-07
"425",4.88714667511844e-07
"426",4.83443494454032e-07
"427",5.01449820691961e-07
"428",4.81946264610814e-07
"429",4.5533184228583e-07
"430",4.72240932271121e-07
"431",4.86934321782668e-07
"432",4.74342011855154e-07
"433",4.85625285211538e-07
"434",4.89285486819621e-07
"435",4.59191324669749e-07
"436",4.95482811053685e-07
"437",4.50138243640412e-07
"438",4.88960175768609e-07
"439",4.66139728465636e-07
"440",4.77671726101074e-07
"441",4.80878915883707e-07
"442",4.68091089334386e-07
"443",4.52838742559655e-07
"444",4.72073111418685e-07
"445",4.89973610280146e-07
"446",4.60471811474024e-07
"447",4.73894938292594e-07
"448",4.76196577473356e-07
"449",4.87692472702494e-07
"450",4.87211426916856e-07
"451",4.62218448161824e-07
"452",4.6657574370351e-07
"453",4.56439498181509e-07
"454",4.67798059675196e-07
"455",4.76375677264598e-07
"456",4.71265081279811e-07
"457",4.70786402731816e-07
"458",4.56207167391962e-07
"459",4.54223645848867e-07
"460",4.82223097463465e-07
"461",4.65531017496545e-07
"462",4.5764717748884e-07
"463",4.52583583807019e-07
"464",4.48626228385579e-07
"465",4.40488400911354e-07
"466",4.93815872812851e-07
"467",4.50118977580011e-07
"468",4.43667461192709e-07
