"","x"
"1",6.89084237877751e-05
"2",7.69114286871059e-05
"3",0.000115996297881538
"4",7.86791587852194e-05
"5",6.73720418813935e-05
"6",3.59805945153169e-05
"7",7.17508090806285e-05
"8",4.77342413977093e-05
"9",5.78131113171832e-05
"10",4.22920904396969e-05
"11",5.29062302039437e-05
"12",5.83401810032738e-05
"13",6.40888948240389e-05
"14",4.80508355674052e-05
"15",4.84993939927371e-05
"16",4.974997406589e-05
"17",5.82778581497446e-05
"18",3.92444182559449e-05
"19",3.80555609437025e-05
"20",3.32487725092417e-05
"21",3.67145208450487e-05
"22",3.03958598376326e-05
"23",3.73427122348233e-05
"24",3.66796026350055e-05
"25",3.45552432319901e-05
"26",3.5040059337452e-05
"27",3.0602176348065e-05
"28",3.09408576569286e-05
"29",2.86162063792909e-05
"30",2.38850238327457e-05
"31",2.76099491512401e-05
"32",2.23168792130667e-05
"33",2.17419098716122e-05
"34",2.69063978124638e-05
"35",2.23029579669169e-05
"36",1.94176948540379e-05
"37",2.23685978170012e-05
"38",1.54376518639764e-05
"39",1.74659468922174e-05
"40",1.90688450047511e-05
"41",1.729933663115e-05
"42",1.34971814869579e-05
"43",1.66504400246602e-05
"44",1.62853096862194e-05
"45",1.3582710056252e-05
"46",1.42009704782432e-05
"47",1.36261825287671e-05
"48",1.28036595127327e-05
"49",1.19102275231333e-05
"50",1.34415683218111e-05
"51",1.12942152834509e-05
"52",1.18550432002132e-05
"53",1.25122771949945e-05
"54",1.11480517248098e-05
"55",9.49375620872878e-06
"56",1.0027256895552e-05
"57",1.13059977988078e-05
"58",1.07504285192682e-05
"59",8.80318223299889e-06
"60",1.0752774639821e-05
"61",8.9792504713216e-06
"62",8.84093189544904e-06
"63",8.76977472055121e-06
"64",8.36174053531442e-06
"65",8.963036572182e-06
"66",8.39393997883655e-06
"67",7.97655796055948e-06
"68",8.25603389092566e-06
"69",8.12993402457996e-06
"70",7.95116558078143e-06
"71",7.53839501070107e-06
"72",7.67616838718564e-06
"73",7.33086990905081e-06
"74",7.03024225200682e-06
"75",7.10024422799663e-06
"76",6.45151999288391e-06
"77",6.36303908248076e-06
"78",6.59068154340151e-06
"79",6.10074205007024e-06
"80",6.26976618868609e-06
"81",6.45699374476411e-06
"82",6.00646223190698e-06
"83",6.07503667737209e-06
"84",5.48766080863437e-06
"85",5.24686388050835e-06
"86",5.57934940118401e-06
"87",5.49939387109063e-06
"88",5.23110628678081e-06
"89",5.19977108249874e-06
"90",4.86581029510634e-06
"91",4.74211864553629e-06
"92",4.61460812357675e-06
"93",4.65263773867918e-06
"94",5.03240414385594e-06
"95",4.84545119687495e-06
"96",4.4617169555286e-06
"97",4.5708473361583e-06
"98",3.84125495048394e-06
"99",4.45221087056035e-06
"100",3.96861719168131e-06
"101",3.76408295717455e-06
"102",4.07113862953274e-06
"103",4.40241959900334e-06
"104",4.02676791001011e-06
"105",3.61096582633877e-06
"106",3.73712566619044e-06
"107",3.86446000273897e-06
"108",3.68904396107627e-06
"109",3.53282236751188e-06
"110",3.80571879054421e-06
"111",3.50169985197924e-06
"112",3.25202379738779e-06
"113",3.08324900233708e-06
"114",3.48135255385835e-06
"115",3.27351935198339e-06
"116",3.14412140976237e-06
"117",3.1281202226488e-06
"118",2.84394234459489e-06
"119",3.02027469849877e-06
"120",2.93787875855831e-06
"121",3.11001437925852e-06
"122",3.12079695361724e-06
"123",2.8861112635569e-06
"124",2.95689545940738e-06
"125",2.82874256716726e-06
"126",2.9451283798493e-06
"127",2.87598906640012e-06
"128",3.08418549143282e-06
"129",2.53760753148749e-06
"130",2.68644906388793e-06
"131",2.64394052725956e-06
"132",2.66227225107667e-06
"133",2.68936058550789e-06
"134",2.53081323747841e-06
"135",2.49849045569171e-06
"136",2.45554885793419e-06
"137",2.46027588389752e-06
"138",2.65469768596729e-06
"139",2.37206898229916e-06
"140",2.52666605187926e-06
"141",2.3168855385844e-06
