"","x"
"1",7.75371611509398e-05
"2",7.82670585091481e-05
"3",7.73482479711633e-05
"4",4.53819822407629e-05
"5",4.63332080783339e-05
"6",8.66939598195129e-05
"7",4.91574645984365e-05
"8",5.01307593968511e-05
"9",6.03871216776341e-05
"10",5.5578471261479e-05
"11",4.58630429702791e-05
"12",4.27502497098063e-05
"13",5.33318152442261e-05
"14",5.16818665220531e-05
"15",4.14823407778649e-05
"16",4.53166782244571e-05
"17",4.7353913488158e-05
"18",3.77401983514793e-05
"19",4.31692320513918e-05
"20",3.82646635207739e-05
"21",3.49820115593251e-05
"22",4.08799383779962e-05
"23",3.23013019375716e-05
"24",3.72054002556554e-05
"25",2.7907585341404e-05
"26",3.71713993496318e-05
"27",2.69796617980372e-05
"28",2.86132706784701e-05
"29",3.05370452886915e-05
"30",3.1915937130167e-05
"31",2.82004331264605e-05
"32",2.47966955952267e-05
"33",2.05880118592458e-05
"34",2.71774528797681e-05
"35",1.9503378735063e-05
"36",2.23724993651859e-05
"37",1.67315329522308e-05
"38",1.91310910359281e-05
"39",1.88903456585881e-05
"40",1.92798081755972e-05
"41",1.79946532128961e-05
"42",1.64697749646201e-05
"43",2.08904861673408e-05
"44",1.350779376847e-05
"45",1.40916953824252e-05
"46",1.40866428113549e-05
"47",1.55956727101373e-05
"48",1.53322474221623e-05
"49",1.26049784794884e-05
"50",1.38453176076954e-05
"51",1.3048344711325e-05
"52",1.2870703886378e-05
"53",1.22148059338674e-05
"54",1.06695250820137e-05
"55",1.16800960508925e-05
"56",1.15161763603933e-05
"57",1.01070616711273e-05
"58",1.07995353293187e-05
"59",1.04043465457403e-05
"60",1.04698268741592e-05
"61",9.27861376458129e-06
"62",9.58142162229561e-06
"63",9.69252609617758e-06
"64",8.80440532117341e-06
"65",8.2685648770388e-06
"66",8.58234671353851e-06
"67",7.93736595527207e-06
"68",8.35638950973671e-06
"69",7.58176960774304e-06
"70",7.31462187109001e-06
"71",8.93991869535077e-06
"72",6.65389837775292e-06
"73",7.53147342688121e-06
"74",7.5237862733805e-06
"75",6.58292084668463e-06
"76",7.31565145183258e-06
"77",7.43435973351042e-06
"78",6.69686493610399e-06
"79",5.78478871306853e-06
"80",6.17410927789024e-06
"81",6.07102805830891e-06
"82",5.7969362292566e-06
"83",5.77773494121227e-06
"84",5.7496087971591e-06
"85",5.14282144310568e-06
"86",5.21869732376757e-06
"87",5.81109984973825e-06
"88",4.60066958979592e-06
"89",4.49066201347682e-06
"90",5.60222872437347e-06
"91",4.99436856502095e-06
"92",4.52523562767815e-06
"93",5.06676728892075e-06
"94",4.62108742688323e-06
"95",4.56471857152584e-06
"96",4.99146635526169e-06
"97",4.14511846358231e-06
"98",4.37244702597893e-06
"99",4.05092466988776e-06
"100",4.04719548656574e-06
"101",4.28053815788032e-06
"102",4.33201494413892e-06
"103",3.88051694758784e-06
"104",3.84727618792104e-06
"105",3.76784954919961e-06
"106",3.8525653159875e-06
"107",3.51501030295178e-06
"108",3.62263270482401e-06
"109",3.60022378273745e-06
"110",3.64728824653093e-06
"111",3.5040998112258e-06
"112",3.28671874072733e-06
"113",3.62091935214083e-06
"114",3.46058144879106e-06
"115",3.43598757901838e-06
"116",3.42374542682261e-06
"117",3.14578993655784e-06
"118",3.37503400060204e-06
"119",3.00666631600583e-06
"120",2.60702441378249e-06
"121",3.16760745067243e-06
"122",3.20731817901231e-06
"123",3.08751213178537e-06
"124",2.79722247827183e-06
"125",2.86605035224551e-06
"126",2.78273357085833e-06
"127",2.64805426976819e-06
"128",2.95305956534625e-06
"129",2.78412132460059e-06
"130",2.6275066655134e-06
"131",2.60743557000286e-06
"132",2.41656837684481e-06
"133",2.60612369822862e-06
"134",2.57525773566981e-06
"135",2.5803208907853e-06
"136",2.636090989396e-06
"137",2.3411814958194e-06
"138",2.40284852849864e-06
"139",2.31958693208312e-06
"140",2.63465254863536e-06
"141",2.39291802503797e-06
"142",2.39875952275097e-06
"143",2.43180570674675e-06
"144",2.08980101908341e-06
"145",2.19618940758194e-06
"146",2.23381398066561e-06
"147",2.11072240759577e-06
"148",2.10968711954546e-06
"149",2.17627528353065e-06
"150",2.2120544141449e-06
"151",2.09219351665322e-06
"152",2.11536495785973e-06
"153",2.00758589658869e-06
"154",2.17572808731205e-06
"155",2.05122569590952e-06
"156",1.85968057228505e-06
"157",1.84130978857754e-06
"158",1.90179946820734e-06
"159",2.00706503339784e-06
"160",1.7756637221608e-06
"161",1.83288797558791e-06
"162",1.77709952817213e-06
"163",1.91279545502332e-06
"164",1.89195009698791e-06
"165",1.66581379346428e-06
"166",1.80394918807692e-06
"167",1.74781825396631e-06
"168",1.78494214905968e-06
"169",1.72129151720839e-06
"170",1.56495208782189e-06
"171",1.65590264006987e-06
"172",1.62530186210513e-06
"173",1.61292540242535e-06
"174",1.67230404530203e-06
"175",1.64240796677602e-06
"176",1.76183908944243e-06
"177",1.71339941159022e-06
"178",1.65055667114304e-06
"179",1.41558235550924e-06
"180",1.44801291282165e-06
"181",1.51915490262324e-06
"182",1.44915945773573e-06
"183",1.49784848580487e-06
"184",1.46994540962627e-06
"185",1.38194053929905e-06
"186",1.46094209614081e-06
"187",1.48758126491305e-06
"188",1.41552736069933e-06
"189",1.37505500847548e-06
"190",1.37044232106622e-06
"191",1.45051642981446e-06
"192",1.35884560435272e-06
"193",1.34990430236968e-06
"194",1.37463506154717e-06
"195",1.29178078972627e-06
"196",1.31278755764892e-06
"197",1.38991361984617e-06
"198",1.31304228622843e-06
"199",1.26929994600636e-06
"200",1.29872426911382e-06
"201",1.32003915232468e-06
"202",1.41860063009532e-06
"203",1.29029024649988e-06
"204",1.17587196368631e-06
"205",1.24487558973567e-06
"206",1.2883100641405e-06
"207",1.19480178872238e-06
"208",1.3140492831902e-06
"209",1.19702968916698e-06
"210",1.21527319075228e-06
"211",1.15315874216535e-06
"212",1.22033337920894e-06
"213",1.15728312881296e-06
"214",1.1757477200374e-06
"215",1.18536265532104e-06
"216",1.08523031400418e-06
"217",1.12554941468156e-06
"218",1.20183258015368e-06
"219",1.14823004979362e-06
"220",1.17073272137076e-06
"221",1.1277211526284e-06
"222",1.08819875719528e-06
"223",1.16733488560986e-06
"224",1.11480491707465e-06
"225",1.06797850344204e-06
"226",1.05045355745909e-06
"227",1.08912934808075e-06
"228",1.08345362234496e-06
"229",1.04021267932952e-06
"230",1.07028561345984e-06
"231",1.12347979354152e-06
"232",1.0322823717752e-06
"233",1.0164778335385e-06
"234",1.08083419002118e-06
"235",1.01560278793567e-06
"236",9.6356467587978e-07
"237",9.68394122806549e-07
"238",9.70136623092167e-07
"239",1.01653725553843e-06
"240",1.05208959049798e-06
"241",9.93773378402476e-07
"242",9.6444773445669e-07
"243",1.00508331791229e-06
"244",1.01272357472457e-06
"245",9.23742419371151e-07
"246",9.53858651730136e-07
"247",9.65517896526597e-07
"248",9.01784121669249e-07
"249",9.80946096063665e-07
"250",9.93376721701034e-07
"251",8.71776826238988e-07
"252",8.96898925710049e-07
"253",9.065334744784e-07
"254",8.67418118431813e-07
"255",8.79436582005116e-07
"256",8.53736225014308e-07
"257",8.880703469856e-07
"258",9.30618094536785e-07
"259",8.38835638795503e-07
"260",8.96690271421385e-07
"261",8.65227059224513e-07
"262",8.28450617928485e-07
"263",7.99264021136493e-07
"264",9.10118542132115e-07
"265",8.52582407771352e-07
"266",8.40786091873073e-07
"267",8.31529583389948e-07
"268",8.20530801304372e-07
"269",8.34917615243287e-07
"270",8.03273119427906e-07
"271",8.19709673789409e-07
"272",8.11954184828507e-07
"273",8.07334436594373e-07
"274",8.25675198561834e-07
"275",7.75697386910239e-07
"276",7.98732454438536e-07
"277",8.39651402682424e-07
"278",7.55903800785901e-07
"279",7.39814200468473e-07
"280",7.40153852712019e-07
"281",7.65256433550326e-07
"282",7.50034435082655e-07
"283",7.2768719231938e-07
"284",7.73773365167791e-07
"285",7.57079331669716e-07
"286",7.34328151788229e-07
"287",7.64938948879898e-07
"288",7.79024472750391e-07
"289",7.43512064275936e-07
"290",7.21412014114841e-07
"291",7.66126654035743e-07
"292",7.40975565636605e-07
"293",7.46501050287649e-07
"294",7.02925661676625e-07
"295",7.25307842210298e-07
"296",7.08242821830632e-07
