"","x"
"1",5.96440375216761e-05
"2",3.07933017965717e-05
"3",0.000102204489903083
"4",8.93453538761604e-05
"5",7.34593265330014e-05
"6",4.30107668257963e-05
"7",6.2613359589554e-05
"8",5.52284791819585e-05
"9",6.76350895525675e-05
"10",5.63239760679072e-05
"11",5.53004274935908e-05
"12",7.07899048359498e-05
"13",4.81191981855195e-05
"14",4.54885809106224e-05
"15",5.63166446647065e-05
"16",5.04858214736281e-05
"17",4.74431451401067e-05
"18",4.05014162031286e-05
"19",4.59926740914726e-05
"20",5.27720623114378e-05
"21",3.8854171416579e-05
"22",4.34017442474945e-05
"23",3.35507403025837e-05
"24",3.2508451311379e-05
"25",3.24977819551219e-05
"26",2.88821622313813e-05
"27",2.983196372156e-05
"28",2.65056411707468e-05
"29",3.21451913764041e-05
"30",2.57287656418308e-05
"31",2.61868062195031e-05
"32",2.64779331094522e-05
"33",2.1331873279926e-05
"34",2.2631349468697e-05
"35",1.81473041621238e-05
"36",2.21835583702992e-05
"37",1.88487031114878e-05
"38",2.29009468944413e-05
"39",1.8835199642088e-05
"40",1.73800539380561e-05
"41",1.77206603854874e-05
"42",1.80525214399443e-05
"43",1.58167300675818e-05
"44",1.38265366605613e-05
"45",1.46080675972107e-05
"46",1.34881532775147e-05
"47",1.51991274435128e-05
"48",1.55587888662056e-05
"49",1.481452672139e-05
"50",1.34621230817217e-05
"51",1.2542871417347e-05
"52",1.20246403624283e-05
"53",1.07203880377497e-05
"54",1.0622358873488e-05
"55",1.12882583180083e-05
"56",1.08654017660156e-05
"57",1.14308630916204e-05
"58",1.06739758125428e-05
"59",9.63386309087708e-06
"60",9.6861973999448e-06
"61",9.82908257436005e-06
"62",1.09091797270835e-05
"63",8.66517638209462e-06
"64",8.25352176183665e-06
"65",9.00947982559712e-06
"66",8.3412239889706e-06
"67",7.91680335438099e-06
"68",7.63821739706692e-06
"69",8.19375960599311e-06
"70",8.1813821333273e-06
"71",7.11846915866787e-06
"72",8.24721552055248e-06
"73",6.91114418755179e-06
"74",6.73494626816734e-06
"75",6.0798542745563e-06
"76",6.69239544928639e-06
"77",6.99513934488758e-06
"78",6.06161468402653e-06
"79",6.32471917074793e-06
"80",5.73450558094882e-06
"81",6.38795535203609e-06
"82",5.64780115332681e-06
"83",5.87272227199135e-06
"84",5.30442357089537e-06
"85",5.25546589818331e-06
"86",4.85921536378783e-06
"87",5.29536797865444e-06
"88",5.35315211343974e-06
"89",5.08336643034968e-06
"90",4.77256057608792e-06
"91",4.75958540273552e-06
"92",4.51340705705543e-06
"93",5.00536060097756e-06
"94",4.66544873128233e-06
"95",4.72527148097016e-06
"96",4.49680297793425e-06
"97",4.85104892192689e-06
"98",4.4422956762926e-06
"99",4.40722462115336e-06
"100",4.28138600346897e-06
"101",4.29426608409476e-06
"102",3.87751721928823e-06
"103",3.77161030422313e-06
"104",3.63753844695187e-06
"105",3.49227766521906e-06
"106",4.22189586572105e-06
"107",4.13728995967542e-06
"108",3.41116851441222e-06
"109",3.60172470898672e-06
