"","x"
"1",0.00895006953752463
"2",0.0089784639959
"3",0.000866195066055211
"4",0.00165131447610605
"5",0.00084486868810319
"6",0.000521225215950718
"7",0.000508057724731392
"8",0.000165136183526593
"9",0.000277296002953314
"10",0.000154358114982124
"11",0.000172232935097023
"12",0.000155312910972428
"13",0.000113573807191599
"14",0.000112978152755967
"15",9.30631268254115e-05
"16",7.23843824924988e-05
"17",8.47547476013808e-05
"18",7.27518731192784e-05
"19",6.48755344582868e-05
"20",5.64642085508398e-05
"21",4.27367745928064e-05
"22",3.78720396115004e-05
"23",3.76925052611898e-05
"24",3.70969847076854e-05
"25",3.02993604138783e-05
"26",3.14428501370777e-05
"27",3.182881627354e-05
"28",2.65395145599238e-05
"29",2.875596197064e-05
"30",2.35488021300046e-05
"31",2.24810661976863e-05
"32",2.44708979832666e-05
"33",1.84554220313757e-05
"34",1.72834934806776e-05
"35",1.83334195076117e-05
"36",1.72788838924467e-05
"37",1.57078663885147e-05
"38",1.44335864118986e-05
"39",1.71416155371632e-05
"40",1.61210135362777e-05
"41",1.20770286343895e-05
"42",1.21005251865154e-05
"43",1.22924159053434e-05
"44",1.2329751345002e-05
"45",1.25552347634565e-05
"46",1.11192623728345e-05
"47",1.05465832696953e-05
"48",1.09143295658585e-05
"49",1.07964206754402e-05
"50",7.69583171568145e-06
"51",8.60621741902927e-06
"52",8.79318893421863e-06
"53",6.66031393374195e-06
"54",8.80229309415453e-06
"55",8.30529760043583e-06
"56",6.47310764200459e-06
"57",7.13908755085377e-06
"58",7.15458123257692e-06
"59",7.17174151062341e-06
"60",6.90782474975604e-06
"61",5.96368915446138e-06
"62",6.64964964265883e-06
"63",6.244367363669e-06
"64",6.02222341943482e-06
"65",6.09601245291204e-06
"66",5.62048336710279e-06
"67",5.16512943459006e-06
"68",5.50031115516712e-06
"69",5.41345249633298e-06
"70",5.56985502543508e-06
"71",4.71793567345909e-06
"72",4.66436112035347e-06
"73",4.75121777946239e-06
"74",4.57660979809307e-06
"75",4.64711663822071e-06
"76",4.48638839260848e-06
"77",3.85084020083262e-06
"78",3.88678635762193e-06
"79",3.6232935524511e-06
"80",3.80151569966008e-06
"81",3.07172701105003e-06
"82",3.33700643389511e-06
"83",3.27537599011678e-06
"84",3.11564438192599e-06
"85",3.27437444242767e-06
"86",3.66985261487308e-06
"87",3.16094798771024e-06
"88",3.17005968763162e-06
"89",2.86944940899656e-06
"90",2.93474511364857e-06
"91",2.75603767077033e-06
"92",2.89196452492155e-06
"93",2.75220313868661e-06
"94",2.7696614698392e-06
"95",2.84562018273634e-06
"96",2.31198253334059e-06
"97",2.65724340586869e-06
"98",2.68202137133277e-06
"99",2.79944454908599e-06
"100",2.65553098311642e-06
"101",2.34150578866333e-06
"102",2.55041335076336e-06
"103",2.51138663101107e-06
"104",2.13131196143132e-06
"105",2.44625354373085e-06
"106",2.25916756215616e-06
"107",2.16404947840696e-06
"108",2.13774728533973e-06
"109",2.13221735189498e-06
"110",2.03934081108346e-06
"111",2.00467757570354e-06
"112",2.21517785513228e-06
"113",1.97636286866112e-06
"114",2.16898991987555e-06
"115",1.73623535406399e-06
"116",1.93260103254179e-06
"117",1.80098945377418e-06
"118",1.87230238753022e-06
"119",1.67655421659341e-06
"120",1.73508234538472e-06
"121",1.66358282839297e-06
"122",1.74836597348431e-06
"123",1.67697458625738e-06
"124",1.65666643316926e-06
"125",1.54413979968013e-06
"126",1.54666774713377e-06
"127",1.61395545744634e-06
"128",1.49366548739657e-06
"129",1.50027227701621e-06
"130",1.46708857751232e-06
"131",1.49900885928995e-06
