"","x"
"1",0.000109428484700908
"2",0.00020936101420011
"3",0.000239141009069934
"4",0.000106684675874496
"5",0.000114509477645419
"6",5.88669435627238e-05
"7",6.44363904615346e-05
"8",3.61333273317876e-05
"9",5.7087512600984e-05
"10",4.15440398470744e-05
"11",5.07232738690201e-05
"12",4.59412894675687e-05
"13",4.26262162639368e-05
"14",4.04644079672839e-05
"15",2.92323937935344e-05
"16",2.88729099748152e-05
"17",2.44411523791191e-05
"18",3.17502047149454e-05
"19",2.79770954884074e-05
"20",1.88769155892488e-05
"21",2.01427556693824e-05
"22",2.15169580716117e-05
"23",2.3799107409686e-05
"24",2.00128318746715e-05
"25",2.30993322027878e-05
"26",1.84746661888866e-05
"27",1.58833283600194e-05
"28",1.89903724221075e-05
"29",1.54392498032478e-05
"30",1.66022516700112e-05
"31",1.30304471000897e-05
"32",1.6989086689586e-05
"33",1.52946552573667e-05
"34",1.26090188584654e-05
"35",1.31079619703228e-05
"36",1.38197368502551e-05
"37",1.16911145717165e-05
"38",1.17246824295156e-05
"39",1.19265058823207e-05
"40",1.00695860817409e-05
"41",1.00130567183657e-05
"42",1.21703484192268e-05
"43",9.69568475035763e-06
"44",9.2629327039854e-06
"45",9.27146214043519e-06
"46",1.02188858626097e-05
"47",8.30494478825402e-06
"48",8.26013968653091e-06
"49",7.86576455895821e-06
"50",7.98892987431063e-06
"51",8.29524836344693e-06
"52",8.11997524388993e-06
"53",7.64441482108141e-06
"54",8.11348896203511e-06
"55",7.4259789804226e-06
"56",8.13390493190542e-06
"57",7.8568052882745e-06
"58",6.11211440211651e-06
"59",7.41518297066444e-06
"60",7.06703223674759e-06
"61",6.67527940704372e-06
"62",5.79625890513592e-06
"63",6.38161323040807e-06
"64",5.51458502064277e-06
"65",5.52703468316318e-06
"66",5.80076778567345e-06
"67",5.96692210914346e-06
"68",5.79774289851884e-06
"69",5.47481400781219e-06
"70",5.42532728637718e-06
"71",4.89809165559331e-06
"72",5.21213259375411e-06
"73",4.95126292821483e-06
"74",4.78763502079301e-06
"75",4.73476574271229e-06
"76",5.30245716460557e-06
"77",5.42791583705249e-06
"78",4.8834418212102e-06
"79",4.57312495775556e-06
"80",4.39010585941501e-06
"81",4.61010435050924e-06
"82",4.55354906187822e-06
"83",4.6230855033728e-06
"84",4.56601000618827e-06
"85",4.65658150575525e-06
"86",4.8036235590847e-06
"87",4.28598820695882e-06
"88",3.96183421671645e-06
"89",4.33590202180396e-06
"90",3.78016583712326e-06
"91",3.87953055730677e-06
"92",3.76754045129471e-06
"93",3.65870303710081e-06
"94",3.55421022571957e-06
"95",4.2129052059469e-06
"96",3.99950915068826e-06
"97",3.56416275599732e-06
"98",3.91167147943049e-06
"99",3.29189795240618e-06
"100",3.76877543061781e-06
"101",3.36149759609801e-06
"102",3.3663613018334e-06
"103",3.52375857661059e-06
"104",3.40249028897421e-06
"105",3.42177161018232e-06
"106",3.53208744190697e-06
"107",3.01941367184767e-06
"108",3.10780427286072e-06
"109",2.95479642778905e-06
"110",3.37456068333391e-06
"111",2.87839311212862e-06
"112",3.09511846377333e-06
"113",2.86156872536331e-06
"114",3.04649545330592e-06
"115",2.97736954096006e-06
"116",2.95187232363299e-06
"117",2.90430760116803e-06
"118",2.92718811531621e-06
"119",2.79418099971978e-06
"120",2.70933045924939e-06
"121",2.83076404252736e-06
"122",2.7550597283068e-06
"123",2.71404772948271e-06
"124",2.4859963861877e-06
"125",2.71221793604822e-06
"126",2.62869574552556e-06
"127",2.53074263909035e-06
"128",2.60181979233313e-06
"129",2.60523352947354e-06
"130",2.52358017797872e-06
"131",2.60611563712033e-06
"132",2.33838514763965e-06
"133",2.50274007302822e-06
"134",2.38448356355785e-06
"135",2.25072015394796e-06
"136",2.28107430102136e-06
"137",2.24555981426059e-06
"138",2.42870698705664e-06
"139",2.30419172414739e-06
"140",2.16067112112227e-06
"141",2.09066441909021e-06
"142",2.09492368077933e-06
"143",2.08223678394347e-06
"144",2.24985538959615e-06
"145",2.1965486896646e-06
"146",2.19297153401357e-06
"147",2.14662177833719e-06
"148",1.96588719342968e-06
"149",2.11220432300553e-06
"150",1.90399468515128e-06
"151",1.8684676288571e-06
"152",1.94275132289023e-06
"153",1.95190995084076e-06
"154",2.00715984496149e-06
"155",2.16376866160238e-06
"156",1.75847720306123e-06
"157",1.81596755956238e-06
"158",1.8325322005522e-06
"159",1.89076704087021e-06
"160",2.00601119892287e-06
"161",1.7844242297888e-06
"162",1.7639778678703e-06
"163",1.81133925990951e-06
"164",1.79914867333599e-06
"165",1.69496793981704e-06
"166",1.80779669590863e-06
"167",1.82565066142504e-06
"168",1.68413881294157e-06
"169",1.70097233127347e-06
"170",1.70347105229947e-06
"171",1.76252099919126e-06
"172",1.76969918851295e-06
"173",1.74930161825007e-06
"174",1.82676583811271e-06
"175",1.91799613490888e-06
"176",1.64625513831094e-06
"177",1.6133852701451e-06
"178",1.71416676511163e-06
"179",1.63301756422859e-06
"180",1.5241536746949e-06
"181",1.59641455636935e-06
"182",1.65457888548486e-06
"183",1.54153965852508e-06
"184",1.69026109100657e-06
"185",1.60647686449546e-06
"186",1.71256113573483e-06
"187",1.58730225862563e-06
"188",1.57471856061531e-06
"189",1.54708905094347e-06
"190",1.57358959557514e-06
"191",1.58902630971769e-06
"192",1.37802316561129e-06
