"","x"
"1",0.000147174600598683
"2",8.26980421442944e-05
"3",0.000170012875407027
"4",9.76053308389373e-05
"5",7.23844963923654e-05
"6",0.000108436824067949
"7",6.49095599700932e-05
"8",7.42664603686157e-05
"9",6.40320842701865e-05
"10",8.57757132197824e-05
"11",3.78141726239241e-05
"12",4.93974600890233e-05
"13",4.5958952170919e-05
"14",4.77247174903322e-05
"15",3.02134013940238e-05
"16",3.42883881448659e-05
"17",3.76318849435795e-05
"18",2.992759506059e-05
"19",2.7001747119123e-05
"20",2.20964509886832e-05
"21",2.52074733931365e-05
"22",1.99293891029786e-05
"23",1.90601297453209e-05
"24",2.12335475391258e-05
"25",1.84339896709005e-05
"26",1.74720562511117e-05
"27",1.88799625377372e-05
"28",1.70951719751481e-05
"29",1.51162751325824e-05
"30",1.4435387889728e-05
"31",1.33799464234418e-05
"32",1.42840784202176e-05
"33",1.31643534196983e-05
"34",1.37094774569806e-05
"35",1.32905911344548e-05
"36",1.26597185075937e-05
"37",1.16408866678089e-05
"38",1.20738344160804e-05
"39",1.52523381676707e-05
"40",1.165838625583e-05
"41",1.01031394878164e-05
"42",7.8478832523485e-06
"43",1.09377316630135e-05
"44",8.11766526102681e-06
"45",9.07089037977828e-06
"46",9.7843322081666e-06
"47",9.20885799384845e-06
"48",8.75278062484723e-06
"49",8.26488511989321e-06
"50",7.64971031218775e-06
"51",7.84373767899027e-06
"52",7.86950261200342e-06
"53",7.87484185658788e-06
"54",7.33778753294313e-06
"55",7.3656709251633e-06
"56",7.23000548678997e-06
"57",7.82561108666116e-06
"58",7.06136000221012e-06
"59",7.26765777042146e-06
"60",6.55467448748533e-06
"61",5.68821994343288e-06
"62",6.50680770360381e-06
"63",6.17780605295824e-06
"64",6.16218950326124e-06
"65",6.58692483498805e-06
"66",6.26973256068188e-06
"67",5.52923551446501e-06
"68",5.42426946098305e-06
"69",5.36264326640766e-06
"70",5.45895613761762e-06
"71",4.59517502750754e-06
"72",5.16276792475091e-06
"73",4.7137859867016e-06
"74",5.32282079691929e-06
"75",5.32438011488923e-06
"76",4.48026277395803e-06
"77",4.39975016697056e-06
"78",4.64462507972794e-06
"79",4.6316011020762e-06
"80",4.68460141433511e-06
"81",4.46377098595707e-06
"82",4.33421972798542e-06
"83",4.47590947644459e-06
"84",3.82443566159198e-06
"85",4.2120015119281e-06
"86",4.27873730058242e-06
"87",4.06850945526515e-06
"88",4.07072987463737e-06
